neuron_id,pc1,pc2,cluster,region
387,0,-954.628,2,SENSORY
388,0,-954.628,2,SENSORY
389,0,-957.726,0,SENSORY
390,0,-954.628,2,SENSORY
391,0,-954.628,2,SENSORY
392,0,-954.628,2,SENSORY
393,0,-954.628,2,SENSORY
394,0,-954.628,2,SENSORY
395,0,-957.726,0,SENSORY
396,0,-954.628,2,SENSORY
397,0,-954.628,2,SENSORY
398,0,-954.628,2,SENSORY
399,0,-954.628,2,SENSORY
400,0,-954.628,2,SENSORY
401,0,-954.628,2,SENSORY
402,0,-954.628,2,SENSORY
403,0,-954.628,2,SENSORY
404,0,-954.628,2,SENSORY
405,0,-954.628,2,SENSORY
406,0,-954.628,2,SENSORY
407,0,-954.628,2,SENSORY
408,0,-954.628,2,SENSORY
409,0,-954.628,2,SENSORY
410,0,-954.628,2,SENSORY
411,0,-958.675,7,SENSORY
412,0,-954.628,2,SENSORY
413,0,-954.628,2,SENSORY
414,0,-954.628,2,SENSORY
415,0,-954.628,2,SENSORY
416,0,-954.628,2,SENSORY
417,0,-954.628,2,SENSORY
418,0,-954.628,2,SENSORY
419,0,-954.628,2,SENSORY
420,0,-954.628,2,SENSORY
421,0,-958.675,7,SENSORY
422,0,-954.628,2,SENSORY
423,0,-954.628,2,SENSORY
424,0,-954.628,2,SENSORY
425,0,-954.628,2,SENSORY
426,0,-954.628,2,SENSORY
427,0,-958.675,7,SENSORY
428,0,-958.675,7,SENSORY
429,0,-954.628,2,SENSORY
430,0,-954.628,2,SENSORY
431,0,-954.628,2,SENSORY
432,0,-954.628,2,SENSORY
433,0,-954.628,2,SENSORY
434,0,-954.628,2,SENSORY
435,0,-954.628,2,SENSORY
436,0,-954.628,2,SENSORY
437,0,-954.628,2,SENSORY
438,0,-954.628,2,SENSORY
439,0,-954.628,2,SENSORY
440,0,-954.628,2,SENSORY
441,0,-954.628,2,SENSORY
442,0,-954.628,2,SENSORY
443,0,-954.628,2,SENSORY
444,0,-954.628,2,SENSORY
445,0,-958.675,7,SENSORY
446,0,-954.628,2,SENSORY
447,0,-957.726,0,SENSORY
448,0,-954.628,2,SENSORY
449,0,-958.675,7,SENSORY
450,0,-954.628,2,SENSORY
451,0,-954.628,2,SENSORY
452,0,-954.628,2,SENSORY
453,0,-954.628,2,SENSORY
454,0,-957.726,0,SENSORY
455,0,-954.628,2,SENSORY
456,0,-954.628,2,SENSORY
457,0,-957.726,0,SENSORY
458,0,-954.628,2,SENSORY
459,0,-954.628,2,SENSORY
460,0,-954.628,2,SENSORY
461,0,-954.628,2,SENSORY
462,0,-954.628,2,SENSORY
463,0,-954.628,2,SENSORY
464,0,-954.628,2,SENSORY
465,0,-954.628,2,SENSORY
466,0,-954.628,2,SENSORY
467,0,-954.628,2,SENSORY
468,0,-954.628,2,SENSORY
469,0,-954.628,2,SENSORY
470,0,-954.628,2,SENSORY
471,0,-954.628,2,SENSORY
472,0,-954.628,2,SENSORY
473,0,-954.628,2,SENSORY
474,0,-954.628,2,SENSORY
475,0,-954.628,2,SENSORY
476,0,-954.628,2,SENSORY
477,0,-954.628,2,SENSORY
478,0,-954.628,2,SENSORY
479,0,-954.628,2,SENSORY
480,0,-954.628,2,SENSORY
481,0,-954.628,2,SENSORY
482,0,-954.628,2,SENSORY
483,0,-954.628,2,SENSORY
484,0,-954.628,2,SENSORY
485,0,-954.628,2,SENSORY
486,0,-954.628,2,SENSORY
487,0,-954.628,2,SENSORY
488,0,-954.628,2,SENSORY
489,0,-954.628,2,SENSORY
490,0,-954.628,2,SENSORY
491,0,-954.628,2,SENSORY
492,0,-954.628,2,SENSORY
493,0,-954.628,2,SENSORY
494,0,-958.675,7,SENSORY
495,0,-954.628,2,SENSORY
496,0,-958.675,7,SENSORY
497,0,-954.628,2,SENSORY
498,0,-958.675,7,SENSORY
499,0,-954.628,2,SENSORY
500,0,-954.628,2,SENSORY
501,0,-958.675,7,SENSORY
502,0,-954.628,2,SENSORY
503,0,-954.628,2,SENSORY
504,0,-957.726,0,SENSORY
505,0,-954.628,2,SENSORY
506,0,-954.628,2,SENSORY
507,0,-958.675,7,SENSORY
508,0,-954.628,2,SENSORY
509,0,-954.628,2,SENSORY
510,0,-954.628,2,SENSORY
511,0,-954.628,2,SENSORY
512,0,-954.628,2,SENSORY
513,0,-954.628,2,SENSORY
514,0,-954.628,2,SENSORY
515,0,-954.628,2,SENSORY
516,0,-954.628,2,SENSORY
517,0,-954.628,2,SENSORY
518,0,-958.675,7,SENSORY
519,0,-954.628,2,SENSORY
520,0,-954.628,2,SENSORY
521,0,-954.628,2,SENSORY
522,0,-954.628,2,SENSORY
523,0,-954.628,2,SENSORY
524,0,-954.628,2,SENSORY
525,0,-954.628,2,SENSORY
526,0,-954.628,2,SENSORY
527,0,-954.628,2,SENSORY
528,0,-954.628,2,SENSORY
529,0,-958.675,7,SENSORY
530,0,-954.628,2,SENSORY
531,0,-958.675,7,SENSORY
532,0,-954.628,2,SENSORY
533,0,-954.628,2,SENSORY
