neuron_id,pc1,pc2,cluster,region
606,0,-0.961139,1,SENSORY
607,0,0,1,SENSORY
608,0,-0.961139,1,SENSORY
609,0,-0.917052,1,SENSORY
610,0,-1.8341,1,SENSORY
611,0,0,1,SENSORY
612,0,-0.961139,1,SENSORY
613,0,-1.8341,1,SENSORY
614,0,0,1,SENSORY
615,0,-0.917052,1,SENSORY
616,0,0,1,SENSORY
617,0,-0.917052,1,SENSORY
618,0,-0.961139,1,SENSORY
619,0,-0.917052,1,SENSORY
620,0,-1.8341,1,SENSORY
621,0,0,1,SENSORY
622,0,-0.917052,1,SENSORY
623,0,-0.961139,1,SENSORY
624,0,0,1,SENSORY
625,0,-1.01208,1,SENSORY
626,0,-0.917052,1,SENSORY
627,0,-0.917052,1,SENSORY
628,0,0,1,SENSORY
629,0,-1.8341,1,SENSORY
630,0,0,1,SENSORY
631,0,0,1,SENSORY
632,0,0,1,SENSORY
633,0,-0.917052,1,SENSORY
634,0,-0.961139,1,SENSORY
635,0,-0.961139,1,SENSORY
636,0,0,1,SENSORY
637,0,-0.917052,1,SENSORY
638,0,-0.961139,1,SENSORY
639,0,-0.917052,1,SENSORY
640,0,-0.961139,1,SENSORY
641,0,-0.917052,1,SENSORY
642,0,0,1,SENSORY
643,0,-0.961139,1,SENSORY
644,0,-0.961139,1,SENSORY
645,0,0,1,SENSORY
646,0,-0.917052,1,SENSORY
647,0,-0.961139,1,SENSORY
648,0,0,1,SENSORY
649,0,-0.0329936,1,SENSORY
650,0,0,1,SENSORY
651,0,-0.961139,1,SENSORY
652,0,0,1,SENSORY
653,0,0,1,SENSORY
654,0,0,1,SENSORY
655,0,-0.917052,1,SENSORY
656,0,-1.8341,1,SENSORY
657,0,0,1,SENSORY
658,0,-0.961139,1,SENSORY
659,0,-0.0281839,1,SENSORY
660,0,-0.917052,1,SENSORY
661,0,0,1,SENSORY
662,0,-0.961139,1,SENSORY
663,0,0,1,SENSORY
664,0,-0.917052,1,SENSORY
