============================================================
  SNN Stage 2: Joint Cortex Development
============================================================
  steps    = 1000000
  text     = f:\��Ŀ\THE TRUE AI\data\lccc_base.txt
  ckpt     = f:\��Ŀ\THE TRUE AI\data\stage2_1M_ckpt.bin
  resume   = (none)
  quiet    = no
  seed     = 42
============================================================

[Network] 分配 GPU 显存...
[Memory] 显存占用：
  神经元状态:  234.375 KB
  突触:        30.5176 MB
  CSR 索引:    7.66755 MB
  缓冲区:      56.6719 KB
  总计:        38.4693 MB
  6GB 显存占比: 0.626129%
[Network] allocate_only() 完成（拓扑未生成，等待 stage2 填充）
  神经元数: 10000
  突触容量: 1000000
[Stage2-Topology] Generating columnar topology:
  neurons           = 10000
  columns           = 10
  neurons/column    = 1000
  intra/neuron      = 80
  inter/neuron      = 20
  total synapses    = 1000000
[Stage2-Topology] Done.
[Stage2-Topology] Verification report:
  total synapses    = 1000000
  nonzero           = 1000000 (zero=0)
  intra-column      = 800000 (expected 800000)
  inter-column      = 200000 (expected 200000)
  excitatory (w>0)  = 800241
  inhibitory (w<0)  = 199759
  mean weight       = 0.0900261
  mean |weight|     = 0.149841
[TextStream] Loaded f:\��Ŀ\THE TRUE AI\data\lccc_base.txt: 869334535 raw bytes -> 869334535 filtered bytes

[Stage2] Starting 1000000-step training...
[Stage2-Trainer] Starting unsupervised training:
  start_step = 0
  n_steps    = 1000000
  ckpt_path  = f:\��Ŀ\THE TRUE AI\data\stage2_1M_ckpt.bin
  text_size  = 869334535 chars
[step 51000] spikes(total=2164 exc=2006 inh=158) S=689 A=1113 M=362 meanFR=0.276908 meanW=0.303257 byte=\xE6
[step 52000] spikes(total=5893 exc=5079 inh=814) S=601 A=4007 M=1285 meanFR=0.292523 meanW=0.303282 byte=\x86
[step 53000] spikes(total=438 exc=414 inh=24) S=384 A=49 M=5 meanFR=0.280078 meanW=0.303261 byte=\x88
[step 54000] spikes(total=2164 exc=2006 inh=158) S=689 A=1113 M=362 meanFR=0.276908 meanW=0.303243 byte=\xB5
[step 55000] spikes(total=5893 exc=5079 inh=814) S=601 A=4007 M=1285 meanFR=0.292523 meanW=0.303281 byte=\x9B
[step 56000] spikes(total=438 exc=414 inh=24) S=384 A=49 M=5 meanFR=0.280078 meanW=0.30326 byte=\xB3
[step 57000] spikes(total=2164 exc=2006 inh=158) S=689 A=1113 M=362 meanFR=0.276908 meanW=0.303244 byte=.
[step 58000] spikes(total=5893 exc=5079 inh=814) S=601 A=4007 M=1285 meanFR=0.292523 meanW=0.303278 byte=\xBD
[step 59000] spikes(total=438 exc=414 inh=24) S=384 A=49 M=5 meanFR=0.280078 meanW=0.303257 byte=\xE5
[step 60000] spikes(total=2164 exc=2006 inh=158) S=689 A=1113 M=362 meanFR=0.276908 meanW=0.303245 byte=\xB5
[step 61000] spikes(total=1024 exc=1023 inh=1) S=894 A=94 M=36 meanFR=0.275984 meanW=0.311451 byte=\x96
[step 62000] spikes(total=5626 exc=5090 inh=536) S=390 A=3975 M=1261 meanFR=0.290317 meanW=0.311471 byte=\x83
[step 63000] spikes(total=1864 exc=1360 inh=504) S=371 A=1158 M=335 meanFR=0.285108 meanW=0.311502 byte=\xA5
[step 64000] spikes(total=1024 exc=1023 inh=1) S=894 A=94 M=36 meanFR=0.275984 meanW=0.31145 byte=\xBA
[step 65000] spikes(total=5626 exc=5090 inh=536) S=390 A=3975 M=1261 meanFR=0.290317 meanW=0.311475 byte=\xE5
[step 66000] spikes(total=1864 exc=1360 inh=504) S=371 A=1158 M=335 meanFR=0.285108 meanW=0.311501 byte=.
[step 67000] spikes(total=1024 exc=1023 inh=1) S=894 A=94 M=36 meanFR=0.275984 meanW=0.31145 byte=\xB8
[step 68000] spikes(total=5626 exc=5090 inh=536) S=390 A=3975 M=1261 meanFR=0.290317 meanW=0.311467 byte=\x91
[step 69000] spikes(total=1864 exc=1360 inh=504) S=371 A=1158 M=335 meanFR=0.285109 meanW=0.3115 byte=.
[step 70000] spikes(total=1024 exc=1023 inh=1) S=894 A=94 M=36 meanFR=0.275984 meanW=0.311449 byte=\x8C
[step 71000] spikes(total=957 exc=950 inh=7) S=898 A=43 M=16 meanFR=0.27699 meanW=0.315719 byte=.
[step 72000] spikes(total=4850 exc=4377 inh=473) S=333 A=3409 M=1108 meanFR=0.287395 meanW=0.315745 byte=\xAB
[step 73000] spikes(total=2702 exc=2145 inh=557) S=421 A=1777 M=504 meanFR=0.286524 meanW=0.315779 byte=\xE5
[step 74000] spikes(total=957 exc=950 inh=7) S=898 A=43 M=16 meanFR=0.27699 meanW=0.31572 byte=\x8A
[step 75000] spikes(total=4850 exc=4377 inh=473) S=333 A=3409 M=1108 meanFR=0.287395 meanW=0.315746 byte=\xB3
[step 76000] spikes(total=2702 exc=2145 inh=557) S=421 A=1777 M=504 meanFR=0.286524 meanW=0.315777 byte=\xAD
[step 77000] spikes(total=957 exc=950 inh=7) S=898 A=43 M=16 meanFR=0.27699 meanW=0.315716 byte=\xE6
[step 78000] spikes(total=4850 exc=4377 inh=473) S=333 A=3409 M=1108 meanFR=0.287395 meanW=0.315738 byte=\xAF
[step 79000] spikes(total=2702 exc=2145 inh=557) S=421 A=1777 M=504 meanFR=0.286524 meanW=0.315776 byte=\xE6
[step 80000] spikes(total=957 exc=950 inh=7) S=898 A=43 M=16 meanFR=0.27699 meanW=0.315716 byte=\xB0
[step 81000] spikes(total=1103 exc=1099 inh=4) S=877 A=174 M=52 meanFR=0.274013 meanW=0.315708 byte=\xE5
[step 82000] spikes(total=6294 exc=5687 inh=607) S=403 A=4579 M=1312 meanFR=0.291783 meanW=0.315723 byte=\xE5
[step 83000] spikes(total=1087 exc=666 inh=421) S=363 A=476 M=248 meanFR=0.282615 meanW=0.315769 byte=\xB4
[step 84000] spikes(total=1103 exc=1099 inh=4) S=877 A=174 M=52 meanFR=0.274013 meanW=0.315704 byte=\x82
[step 85000] spikes(total=6294 exc=5687 inh=607) S=403 A=4579 M=1312 meanFR=0.291783 meanW=0.315723 byte=\xBC
[step 86000] spikes(total=1087 exc=666 inh=421) S=363 A=476 M=248 meanFR=0.282615 meanW=0.315768 byte=\xA7
[step 87000] spikes(total=1103 exc=1099 inh=4) S=877 A=174 M=52 meanFR=0.274013 meanW=0.3157 byte=\xBC
[step 88000] spikes(total=6294 exc=5687 inh=607) S=403 A=4579 M=1312 meanFR=0.291783 meanW=0.315718 byte=.
[step 89000] spikes(total=1087 exc=666 inh=421) S=363 A=476 M=248 meanFR=0.282615 meanW=0.315764 byte=\x84
[step 90000] spikes(total=1103 exc=1099 inh=4) S=877 A=174 M=52 meanFR=0.274013 meanW=0.3157 byte=\x89
[step 91000] spikes(total=978 exc=974 inh=4) S=854 A=101 M=23 meanFR=0.274346 meanW=0.317314 byte=\xB8
[step 92000] spikes(total=5781 exc=5241 inh=540) S=373 A=4218 M=1190 meanFR=0.289537 meanW=0.317314 byte=\xBA
[step 93000] spikes(total=1716 exc=1228 inh=488) S=408 A=919 M=389 meanFR=0.283626 meanW=0.317374 byte=.
[step 94000] spikes(total=978 exc=974 inh=4) S=854 A=101 M=23 meanFR=0.274346 meanW=0.317313 byte=\xE4
[step 95000] spikes(total=5781 exc=5241 inh=540) S=373 A=4218 M=1190 meanFR=0.289537 meanW=0.317312 byte=\xAB
[step 96000] spikes(total=1716 exc=1228 inh=488) S=408 A=919 M=389 meanFR=0.283626 meanW=0.317372 byte=\xE7
[step 97000] spikes(total=978 exc=974 inh=4) S=854 A=101 M=23 meanFR=0.274346 meanW=0.317312 byte=\x85
[step 98000] spikes(total=5781 exc=5241 inh=540) S=373 A=4218 M=1190 meanFR=0.289536 meanW=0.317311 byte=\x88
[step 99000] spikes(total=1716 exc=1228 inh=488) S=408 A=919 M=389 meanFR=0.283626 meanW=0.317371 byte=\xE6
[step 100000] spikes(total=978 exc=974 inh=4) S=854 A=101 M=23 meanFR=0.274346 meanW=0.31731 byte=\xE6
[Stage2-Ckpt] Saved step=100001 text_pos=100001 to f:\��Ŀ\THE TRUE AI\data\stage2_1M_ckpt.bin (~32 MB)
[step 101000] spikes(total=1555 exc=1503 inh=52) S=730 A=679 M=146 meanFR=0.272405 meanW=0.317782 byte=\x86
[step 102000] spikes(total=6436 exc=5587 inh=849) S=581 A=4419 M=1436 meanFR=0.290962 meanW=0.317852 byte=\xB8
[step 103000] spikes(total=428 exc=338 inh=90) S=314 A=97 M=17 meanFR=0.278542 meanW=0.317841 byte=\xE9
[step 104000] spikes(total=1555 exc=1503 inh=52) S=730 A=679 M=146 meanFR=0.272405 meanW=0.317786 byte=\x88
[step 105000] spikes(total=6436 exc=5587 inh=849) S=581 A=4419 M=1436 meanFR=0.290962 meanW=0.317851 byte=\x9D
[step 106000] spikes(total=428 exc=338 inh=90) S=314 A=97 M=17 meanFR=0.278542 meanW=0.317841 byte=\xA6
[step 107000] spikes(total=1555 exc=1503 inh=52) S=730 A=679 M=146 meanFR=0.272405 meanW=0.317779 byte=.
[step 108000] spikes(total=6436 exc=5587 inh=849) S=581 A=4419 M=1436 meanFR=0.290963 meanW=0.317851 byte=\x87
[step 109000] spikes(total=428 exc=338 inh=90) S=314 A=97 M=17 meanFR=0.278542 meanW=0.317841 byte=\x8B
[step 110000] spikes(total=1555 exc=1503 inh=52) S=730 A=679 M=146 meanFR=0.272405 meanW=0.317777 byte=\xE9
[step 111000] spikes(total=1535 exc=1476 inh=59) S=696 A=656 M=183 meanFR=0.271985 meanW=0.318182 byte=\x84
[step 112000] spikes(total=6407 exc=5572 inh=835) S=566 A=4443 M=1398 meanFR=0.290418 meanW=0.318244 byte=.
[step 113000] spikes(total=464 exc=370 inh=94) S=353 A=96 M=15 meanFR=0.278206 meanW=0.318231 byte=\xB0
[step 114000] spikes(total=1535 exc=1476 inh=59) S=696 A=656 M=183 meanFR=0.271985 meanW=0.318184 byte=\xE5
[step 115000] spikes(total=6407 exc=5572 inh=835) S=566 A=4443 M=1398 meanFR=0.290419 meanW=0.318244 byte=\xA9
[step 116000] spikes(total=464 exc=370 inh=94) S=353 A=96 M=15 meanFR=0.278206 meanW=0.31823 byte=\x84
[step 117000] spikes(total=1535 exc=1476 inh=59) S=696 A=656 M=183 meanFR=0.271985 meanW=0.318179 byte=\xA6
[step 118000] spikes(total=6407 exc=5572 inh=835) S=566 A=4443 M=1398 meanFR=0.290419 meanW=0.318244 byte=\xE7
