step,spikes,is_inject_step,byte,nmda_sum,nmda_nz,xpre_sum,xpre_nz,ca_sum,ca_nz,weight_sum,weight_abs_sum
177,0,0,0,812.7766,47927,22602.4922,1878998,6162.4463,1878998,1777397.8750,2962719.7500
178,0,0,0,806.6105,47927,21500.1562,1878998,6172.7119,1878998,1777397.8750,2962719.7500
179,0,0,0,800.5952,47927,20451.5820,1878998,6181.7725,1878998,1777397.8750,2962719.7500
180,2229,1,18,857.9365,47935,32158.8164,1884517,6200.9873,1884517,1777397.8750,2962719.7500
181,0,0,0,851.8155,47935,30590.4141,1884517,6218.8022,1884517,1777397.8750,2962719.7500
182,0,0,0,846.0274,47935,29098.5020,1884517,6235.3076,1884517,1777397.8750,2962719.7500
183,0,0,0,838.4947,47935,27679.3535,1884517,6250.1562,1884517,1777397.8750,2962719.7500
184,0,0,0,831.3217,47935,26329.4160,1884517,6263.4634,1884517,1777397.8750,2962719.7500
185,0,0,0,824.4494,47935,25045.3164,1884517,6275.3271,1884517,1777397.8750,2962719.7500
186,0,0,0,817.8302,47935,23823.8418,1884517,6285.8286,1884517,1777397.8750,2962719.7500
187,0,0,0,811.4261,47935,22661.9395,1884517,6295.0396,1884517,1777397.8750,2962719.7500
188,0,0,0,805.2065,47935,21556.7051,1884517,6303.0220,1884517,1777397.8750,2962719.7500
189,0,0,0,799.1463,47935,20505.3730,1884517,6309.8311,1884517,1777397.8750,2962719.7500
190,2218,1,19,853.5364,47938,32150.7031,1887952,6326.4131,1887952,1777397.8750,2962719.7500
191,0,0,0,845.6052,47938,30582.6973,1887952,6341.2354,1887952,1777397.8750,2962719.7500
192,0,0,0,839.9950,47938,29091.1621,1887952,6354.8418,1887952,1777397.8750,2962719.7500
193,0,0,0,832.5948,47938,27672.3691,1887952,6366.8726,1887952,1777397.8750,2962719.7500
194,0,0,0,825.5468,47938,26322.7734,1887952,6377.4404,1887952,1777397.8750,2962719.7500
195,0,0,0,818.7918,47938,25038.9980,1887952,6386.6392,1887952,1777397.8750,2962719.7500
196,0,0,0,812.2829,47938,23817.8320,1887952,6394.5479,1887952,1777397.8750,2962719.7500
197,0,0,0,805.9822,47938,22656.2227,1887952,6401.2354,1887952,1777397.8750,2962719.7500
198,0,0,0,799.8595,47938,21551.2656,1887952,6406.7603,1887952,1777397.8750,2962719.7500
199,0,0,0,793.8903,47938,20500.1992,1887952,6411.1753,1887952,1777397.8750,2962719.7500
200,2210,1,20,844.7778,47939,32100.8125,1889666,6424.9214,1889666,1777397.8750,2962719.7500
201,0,0,0,835.3969,47939,30535.2383,1889666,6436.6279,1889666,1777397.8750,2962719.7500
202,0,0,0,830.0432,47939,29046.0195,1889666,6447.2314,1889666,1777397.8750,2962719.7500
203,0,0,0,822.8578,47939,27629.4277,1889666,6456.3574,1889666,1777397.8750,2962719.7500
204,0,0,0,816.0110,47939,26281.9258,1889666,6464.1147,1889666,1777397.8750,2962719.7500
205,0,0,0,809.4445,47939,25000.1426,1889666,6470.5928,1889666,1777397.8750,2962719.7500
206,0,0,0,803.1118,47939,23780.8711,1889666,6475.8667,1889666,1777397.8750,2962719.7500
207,0,0,0,796.9759,47939,22621.0664,1889666,6480.0005,1889666,1777397.8750,2962719.7500
208,0,0,0,791.0075,47939,21517.8242,1889666,6483.0493,1889666,1777397.8750,2962719.7500
209,0,0,0,785.1829,47939,20468.3887,1889666,6485.0620,1889666,1777397.8750,2962719.7500
210,2246,1,21,836.7452,47944,32271.8535,1892327,6496.5488,1892327,1777397.8750,2962719.7500
211,0,0,0,828.7213,47944,30697.9375,1892327,6506.3281,1892327,1777397.8750,2962719.7500
212,0,0,0,823.3620,47944,29200.7812,1892327,6515.0361,1892327,1777397.8750,2962719.7500
213,0,0,0,816.1384,47944,27776.6445,1892327,6522.2891,1892327,1777397.8750,2962719.7500
214,0,0,0,809.2657,47944,26421.9609,1892327,6528.1982,1892327,1777397.8750,2962719.7500
215,0,0,0,802.6837,47944,25133.3477,1892327,6532.8555,1892327,1777397.8750,2962719.7500
216,0,0,0,796.3440,47944,23907.5801,1892327,6536.3369,1892327,1777397.8750,2962719.7500
217,0,0,0,790.2084,47944,22741.5957,1892327,6538.7075,1892327,1777397.8750,2962719.7500
218,0,0,0,784.2464,47944,21632.4746,1892327,6540.0239,1892327,1777397.8750,2962719.7500
219,0,0,0,778.4334,47944,20577.4473,1892327,6540.3354,1892327,1777397.8750,2962719.7500
220,2218,1,22,828.4585,47949,32212.2734,1893851,6549.8789,1893851,1777397.8750,2962719.7500
221,0,0,0,820.0469,47949,30641.2637,1893851,6557.6606,1893851,1777397.8750,2962719.7500
222,0,0,0,814.7443,47949,29146.8730,1893851,6564.4175,1893851,1777397.8750,2962719.7500
223,0,0,0,807.6284,47949,27725.3633,1893851,6569.7739,1893851,1777397.8750,2962719.7500
224,0,0,0,800.8555,47949,26373.1816,1893851,6573.8379,1893851,1777397.8750,2962719.7500
225,0,0,0,794.3668,47949,25086.9473,1893851,6576.6987,1893851,1777397.8750,2962719.7500
226,0,0,0,788.1151,47949,23863.4434,1893851,6578.4316,1893851,1777397.8750,2962719.7500
227,0,0,0,782.0629,47949,22699.6113,1893851,6579.0991,1893851,1777397.8750,2962719.7500
228,0,0,0,776.1804,47949,21592.5391,1893851,6578.7563,1893851,1777397.8750,2962719.7500
229,0,0,0,770.4436,47949,20539.4590,1893851,6577.4507,1893851,1777397.8750,2962719.7500
230,2223,1,23,818.9548,47952,32210.1270,1895350,6585.1172,1895350,1777397.8750,2962719.7500
231,0,0,0,810.7307,47952,30639.2227,1895350,6591.0830,1895350,1777397.8750,2962719.7500
232,0,0,0,805.4933,47952,29144.9297,1895350,6596.0688,1895350,1777397.8750,2962719.7500
233,0,0,0,798.3885,47952,27723.5156,1895350,6599.6846,1895350,1777397.8750,2962719.7500
234,0,0,0,791.6367,47952,26371.4258,1895350,6602.0405,1895350,1777397.8750,2962719.7500
235,0,0,0,785.1766,47952,25085.2754,1895350,6603.2280,1895350,1777397.8750,2962719.7500
236,0,0,0,778.9594,47952,23861.8535,1895350,6603.3213,1895350,1777397.8750,2962719.7500
237,0,0,0,772.9465,47952,22698.0977,1895350,6602.3848,1895350,1777397.8750,2962719.7500
238,0,0,0,767.1071,47952,21591.0996,1895350,6600.4736,1895350,1777397.8750,2962719.7500
239,0,0,0,761.4164,47952,20538.0898,1895350,6597.6353,1895350,1777397.8750,2962719.7500
240,2188,1,24,807.9429,47952,32004.9453,1895729,6603.5107,1895729,1777397.8750,2962719.7500
241,0,0,0,799.2157,47952,30444.0469,1895729,6607.5981,1895729,1777397.8750,2962719.7500
242,0,0,0,794.0939,47952,28959.2734,1895729,6610.7632,1895729,1777397.8750,2962719.7500
