step,spikes,is_inject_step,byte,nmda_sum,nmda_nz,xpre_sum,xpre_nz,ca_sum,ca_nz,weight_sum,weight_abs_sum
25,213,1,5,726.7457,46802,36172.4336,1358898,1486.0625,1358898,6917943.0000,11530417.0000
26,353,0,0,739.2921,46840,36417.6836,1371466,1598.9918,1371466,6917943.0000,11530417.0000
27,487,0,0,753.9077,46849,37420.9219,1374134,1711.6973,1374134,6917943.0000,11530417.0000
28,948,0,0,791.4820,47111,40998.1641,1471760,1820.6952,1471760,6917943.0000,11530417.0000
29,163,0,0,799.7656,47120,39926.4102,1475352,1928.9735,1475352,6917943.0000,11530417.0000
30,264,1,6,833.7695,47128,39483.5586,1478754,2046.4619,1478754,6917943.0000,11530417.0000
31,362,0,0,845.1953,47146,39620.4531,1487857,2167.7681,1487857,6917943.0000,11530417.0000
32,467,0,0,852.1816,47149,40351.4805,1489180,2287.1877,1489180,6917943.0000,11530417.0000
33,807,0,0,875.8846,47291,42985.7891,1561181,2400.9038,1561181,6917943.0000,11530417.0000
34,316,0,0,882.7023,47298,42687.2188,1564392,2511.5464,1564392,6917943.0000,11530417.0000
35,256,1,7,912.9953,47299,42064.9297,1566278,2631.1399,1566278,6917943.0000,11530417.0000
36,343,0,0,918.5276,47309,41967.1797,1573469,2753.5127,1573469,6917943.0000,11530417.0000
37,461,0,0,919.7493,47313,42545.1172,1574978,2872.5981,1574978,6917943.0000,11530417.0000
38,712,0,0,936.2615,47429,44526.7695,1635137,2985.0093,1635137,6917943.0000,11530417.0000
39,362,0,0,944.3262,47437,44418.6914,1638351,3093.7312,1638351,6917943.0000,11530417.0000
40,255,1,8,979.0792,47438,43704.9688,1640434,3212.8743,1640434,6917943.0000,11530417.0000
41,324,0,0,985.6942,47449,43421.6328,1646304,3335.9167,1646304,6917943.0000,11530417.0000
42,436,0,0,983.9739,47454,43789.3750,1647067,3455.8616,1647067,6917943.0000,11530417.0000
43,692,0,0,995.1226,47570,45597.6641,1694779,3568.1404,1694779,6917943.0000,11530417.0000
44,407,0,0,1000.7798,47573,45691.3711,1696868,3675.2236,1696868,6917943.0000,11530417.0000
45,272,1,9,1034.0854,47574,45013.7969,1697622,3792.3213,1697622,6917943.0000,11530417.0000
46,328,0,0,1038.5164,47584,44688.4727,1701231,3913.1665,1701231,6917943.0000,11530417.0000
47,387,0,0,1031.1631,47584,44711.2305,1702550,4030.5576,1702550,6917943.0000,11530417.0000
48,662,0,0,1037.1041,47675,46305.0586,1744554,4139.2217,1744554,6917943.0000,11530417.0000
49,417,0,0,1043.0518,47678,46425.0742,1745690,4242.0728,1745690,6917943.0000,11530417.0000
50,326,1,10,1078.2128,47678,46019.8203,1746260,4355.1250,1746260,6917943.0000,11530417.0000
51,333,0,0,1082.6973,47682,45672.6680,1749277,4472.0405,1749277,6917943.0000,11530417.0000
52,392,0,0,1074.4722,47682,45678.0547,1749845,4584.8447,1749845,6917943.0000,11530417.0000
53,527,0,0,1075.5410,47740,46453.6133,1776986,4690.0396,1776986,6917943.0000,11530417.0000
54,420,0,0,1073.9734,47740,46583.5742,1777750,4788.0190,1777750,6917943.0000,11530417.0000
55,347,1,11,1106.7098,47742,46290.3164,1777937,4895.2354,1777937,6917943.0000,11530417.0000
56,322,0,0,1108.8881,47747,45867.2734,1780982,5005.8286,1780982,6917943.0000,11530417.0000
57,326,0,0,1098.6069,47747,45486.5234,1781167,5113.1216,1781167,6917943.0000,11530417.0000
58,480,0,0,1097.0002,47800,46001.5977,1804743,5213.0918,1804743,6917943.0000,11530417.0000
59,414,0,0,1097.5684,47800,46116.7344,1804931,5306.3325,1804931,6917943.0000,11530417.0000
60,440,1,12,1131.5072,47801,46372.7461,1805121,5407.9971,1805121,6917943.0000,11530417.0000
61,291,0,0,1135.5211,47806,45767.6914,1806648,5513.8872,1806648,6917943.0000,11530417.0000
62,318,0,0,1124.7651,47806,45346.9766,1806648,5616.5488,1806648,6917943.0000,11530417.0000
